Sr. No.,molecule_chembl_id,canonical_smiles,,bioactivity_class,Groups,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,standard_value,pIC50
1,CHEMBL100174,CCCCN(C)c1ccc(/N=N/c2ncc([N+](=O)[O-])s2)c(C)c1,,active,1,333.417,5.01142,0,7,7,83.99,151,6.821023053
2,CHEMBL100775,Cc1cnc(Nc2ccccn2)s1,,inactive,0,191.259,2.59012,1,4,2,37.81,1274,5.894830572
3,CHEMBL101221,CC(=O)Nc1oc(-c2cc3ccccc3cc2O)nc1-c1ccccc1,,active,1,344.37,4.8258,2,4,3,75.36,16,7.795880017
4,CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,,active,1,346.821,5.0126,1,4,4,50.7,37,7.431798276
5,CHEMBL101325,CC(=O)Nc1oc(-c2cncc(-c3cccc(Cl)c3)c2)nc1-c1ccccc1,,inactive,0,389.842,5.6824,1,4,4,68.02,8320,5.079876674
6,CHEMBL101461,CC(=O)Nc1oc(-c2cncc(-c3ccccc3)c2)nc1-c1ccccc1,,inactive,0,355.397,5.029,1,4,4,68.02,575,6.240332155
7,CHEMBL101464,Brc1cccc(Nc2ncc(-c3ccccc3)s2)n1,,active,1,332.226,4.7112,1,4,3,37.81,14,7.853871964
8,CHEMBL101544,N#Cc1cnc(Nc2ccccn2)s1,,active,1,202.242,2.15338,1,5,2,61.6,36,7.443697499
9,CHEMBL101682,O=C(Nc1ccccc1F)c1ccccc1NCc1ccc(F)cc1,,inactive,0,338.357,4.8292,2,2,5,41.13,3700,5.431798276
10,CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,,active,1,337.81,4.5994,2,3,5,54.02,20,7.698970004
11,CHEMBL101797,O=C1Nc2ccccc2/C1=C\c1ccc[nH]1,,inactive,0,210.236,2.5074,2,1,1,44.89,390,6.408935393
12,CHEMBL101924,c1ccc(-c2cnc(Nc3ncccn3)s2)cc1,,active,1,254.318,3.3437,1,5,3,50.7,137,6.863279433
13,CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,,inactive,0,467.551,2.9837,1,8,5,81.54,17300,4.761953897
14,CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,,inactive,0,512.61,3.5319,1,7,1,77.73,1410,5.850780887
15,CHEMBL103595,c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCN1CCOCC1,,active,1,389.524,4.764,0,5,5,30.29,60,7.22184875
16,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,,inactive,0,527.669,5.98642,2,6,7,80.65,340,6.468521083
17,CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,,inactive,0,417.513,3.1449,2,7,8,89.43,1000,6
18,CHEMBL106966,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,,inactive,0,418.457,2.87278,1,7,4,103.61,100000,4
19,CHEMBL1075628,Cc1ccc(NC(=O)c2cc(CN3CCN(C)CC3)n(C(C)(C)C)n2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,active,1,593.74,4.40092,3,11,7,135.05,63,7.200659451
20,CHEMBL1076193,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nc5ccccc5n4-c4cc(N)ncn4)c3)cc(C(F)(F)F)c2)cn1,,active,1,583.578,6.21494,3,9,6,128.57,20,7.698970004
21,CHEMBL1076194,Cc1cccc(NC(=O)c2ccc(C)c(Nc3nc4ccccc4n3-c3cc(NCCCCN(C)C)ncn3)c2)c1,,inactive,0,548.695,6.18194,3,8,11,100,1497,5.8247782
22,CHEMBL1076195,CCN(CC)CCCCNc1cc(-n2c(Nc3cc(C(=O)Nc4cccc(C)c4)ccc3C)nc3ccccc32)ncn1,,inactive,0,576.749,6.96214,3,8,13,100,1364,5.86518563
23,CHEMBL1076196,Cc1cccc(NC(=O)c2ccc(C)c(Nc3nc4ccccc4n3-c3cc(NCCN4CCN(C)CC4)ncn3)c2)c1,,inactive,0,575.721,5.08754,3,9,9,103.24,2094,5.679023323
24,CHEMBL1076197,Cc1cccc(NC(=O)c2ccc(C)c(Nc3nc4ccccc4n3-c3cc(NCCCN4CCN(C)CC4)ncn3)c2)c1,,inactive,0,589.748,5.47764,3,9,10,103.24,1113,5.953504836
25,CHEMBL1076198,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCCN(C)C)ncn1,,active,1,602.665,6.89232,3,8,11,100,249,6.603800653
26,CHEMBL1076199,CCN(CC)CCCCNc1cc(-n2c(Nc3cc(C(=O)Nc4cccc(C(F)(F)F)c4)ccc3C)nc3ccccc32)ncn1,,active,1,630.719,7.67252,3,8,13,100,243,6.614393726
27,CHEMBL1076200,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCN2CCN(C)CC2)ncn1,,active,1,629.691,5.79792,3,9,9,103.24,185,6.732828272
28,CHEMBL1076201,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCN2CCN(C)CC2)ncn1,,active,1,643.718,6.18802,3,9,10,103.24,117,6.931814138
29,CHEMBL1076202,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCC#N)ncn1,,active,1,556.552,6.4642,3,8,8,120.55,245,6.610833916
30,CHEMBL1076203,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1ncnc(NCCCN2CCN(C)CC2)n1,,active,1,644.706,5.58302,3,10,10,116.13,133,6.876148359
31,CHEMBL1076330,Cn1cnc(-c2ccccc2)c1-c1nc2c(N)ncnc2s1,,inactive,0,308.37,2.736,1,7,2,82.51,84000,4.075720714
32,CHEMBL1076432,Cc1ccc(NC(=O)c2cc(OC3CCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,active,1,616.648,6.19382,3,9,7,123.22,66,7.180456064
33,CHEMBL1076433,CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4-c4cc(N)ncn4)c3)cc2Cl)CC1,,active,1,596.139,5.49292,3,9,8,117.23,30,7.522878745
34,CHEMBL1076436,Cc1ccc(NC(=O)c2cc(N3CCN(C)CC3)cc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,active,1,601.637,5.47262,3,9,6,117.23,43,7.366531544
35,CHEMBL1076437,CCN1CCN(c2cc(C(=O)Nc3ccc(C)c(Nc4nc5ccccc5n4-c4cc(N)ncn4)c3)cc(C(F)(F)F)c2)CC1,,active,1,615.664,5.86272,3,9,7,117.23,5,8.301029996
36,CHEMBL1076465,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCN)ncn1,,inactive,0,560.584,5.89932,4,8,9,122.78,1472,5.83209219
37,CHEMBL1076466,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCCN)ncn1,,inactive,0,574.611,6.28942,4,8,10,122.78,599,6.222573178
38,CHEMBL1076468,CCN(CC)CCNc1cc(-n2c(Nc3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)nc3ccccc32)ncn1,,inactive,0,602.665,6.89232,3,8,11,100,1726,5.762959209
39,CHEMBL1076469,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCCN(C)C)ncn1,,inactive,0,602.665,6.89232,3,8,11,100,1365,5.864867349
40,CHEMBL1076470,CCN(CC)CCCCNc1cc(-n2c(Nc3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)nc3ccccc32)ncn1,,inactive,0,630.719,7.67252,3,8,13,100,885,6.053056729
41,CHEMBL1076471,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCC2COCCN2)ncn1,,inactive,0,630.675,6.31912,4,9,10,118.02,318,6.49757288
42,CHEMBL1076472,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCC2CCCN2)ncn1,,inactive,0,600.649,6.69262,4,8,9,108.79,941,6.026410377
43,CHEMBL1076473,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N[C@H]2CC[C@H](N)CC2)ncn1,,inactive,0,600.649,6.82042,4,8,7,122.78,609,6.215382707
44,CHEMBL1076474,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NC2CCN(C)CC2)ncn1,,inactive,0,600.649,6.64472,3,8,7,100,1712,5.76649624
45,CHEMBL1076475,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCc2ccccn2)ncn1,,inactive,0,608.628,7.18822,3,8,9,109.65,549,6.260427656
46,CHEMBL1076476,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N2CCOCC2)ncn1,,inactive,0,573.579,5.97522,2,8,6,97.2,10000,5
47,CHEMBL1076477,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCN2CCN(C)CC2)ncn1,,inactive,0,629.691,5.79792,3,9,9,103.24,605,6.218244625
48,CHEMBL1076478,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCN2CCN(C)CC2)ncn1,,inactive,0,643.718,6.18802,3,9,10,103.24,582,6.235077015
49,CHEMBL1076480,COCCNc1cc(-n2c(Nc3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)nc3ccccc32)ncn1,,active,1,561.568,6.19692,3,8,9,105.99,296,6.528708289
50,CHEMBL1076533,Cc1ccc(C(=O)Nc2ccccc2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,inactive,0,435.491,4.70202,3,7,5,110.75,8817,5.054679159
51,CHEMBL1077291,O=C1Nc2ccc(F)cc2/C1=C1/Nc2ccccc2/C1=N\O,,inactive,0,295.273,2.7929,3,4,0,73.72,1530,5.815308569
52,CHEMBL1079422,Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,inactive,0,469.936,5.35542,3,7,5,110.75,576,6.239577517
53,CHEMBL1079424,Cc1cc(NC(=O)c2ccc(C)c(Nc3nc4ccccc4n3-c3cc(N)ncn3)c2)ccn1,,active,1,450.506,4.40544,3,8,5,123.64,135,6.869666232
54,CHEMBL1079428,Cn1cnc(-c2ccccc2)c1-c1cc2c(N)ncnc2s1,,inactive,0,307.382,3.341,1,6,2,69.62,10000,5
55,CHEMBL1079846,COc1ccc(C(F)(F)F)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,,active,1,533.514,6.0748,3,7,7,105.47,7,8.15490196
56,CHEMBL1079850,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(C(F)(F)F)ccc1F,,active,1,521.478,6.2053,3,6,6,96.24,13,7.886056648
57,CHEMBL1079945,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,active,1,503.488,5.72082,3,7,5,110.75,36,7.443697499
58,CHEMBL1079946,Cc1ccc(NC(=O)c2cc(Cl)cc(Cl)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,inactive,0,504.381,6.00882,3,7,5,110.75,6365,5.196201592
59,CHEMBL1080294,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1ncnc(N)c1C,,inactive,0,517.515,6.02924,3,7,5,110.75,8181,5.087193607
60,CHEMBL1080299,Cc1cccc(C(=O)Nc2ccc(C)c(Nc3nc4ccccc4n3-c3cc(N)ncn3)c2)c1,,active,1,449.518,5.01044,3,7,5,110.75,280,6.552841969
61,CHEMBL1080403,C/C(=C/c1coc2nc(N)nc(N)c12)c1cccc2ccccc12,,inactive,0,316.364,4.1009,2,5,2,90.96,2000,5.698970004
62,CHEMBL1080580,Cc1ccc(NC(=O)c2ccc(/C=C/C(=O)NO)cc2)cc1Nc1nc(-c2cccnc2)cs1,,inactive,0,471.542,5.02802,4,7,7,116.24,11000,4.958607315
63,CHEMBL1080639,COc1ccc(Br)cc1NC(=O)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,,active,1,544.413,5.8185,3,7,7,105.47,10,8
64,CHEMBL1080901,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],,inactive,0,486.323,4.2499,4,9,8,160.57,5000,5.301029996
65,CHEMBL1080930,Cc1ccc(C(=O)Nc2cccc(C(N)=O)c2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,inactive,0,478.516,3.80092,4,8,6,153.84,10000,5
66,CHEMBL1081090,COc1cccc(NC(=O)c2ccc(C)c(Nc3nc4ccccc4n3-c3cc(N)ncn3)c2)c1,,inactive,0,465.517,4.71062,3,8,6,119.98,516,6.287350298
67,CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,,active,1,503.488,6.0662,3,6,6,96.24,33,7.48148606
68,CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,active,1,319.372,3.0669,2,6,2,98.3,12,7.920818754
69,CHEMBL1081436,Cc1ccc(C(=O)Nc2cccc3cnccc23)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,inactive,0,486.539,5.25022,3,8,5,123.64,10577,4.975637496
70,CHEMBL1081831,N[C@H](CNc1ncc(-c2ccc3c(c2)CC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,,active,1,432.471,4.3054,3,5,6,80.04,300,6.522878745
71,CHEMBL1082403,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCN(S(C)(=O)=O)CC5)c4)cnn3c2N)cc1,,inactive,0,563.684,3.9316,2,9,7,135.16,10000,5
72,CHEMBL1082404,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCN(C(=O)CN)CC5)c4)cnn3c2N)cc1,,inactive,0,542.644,3.4573,3,9,7,144.11,1900,5.721246399
73,CHEMBL1082437,Cn1ncc2c1CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C)c13)CNC2=O,,active,1,426.52,4.3156,1,5,1,61.08,22,7.657577319
74,CHEMBL1082438,CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3,,active,1,440.547,4.7985,1,5,2,61.08,9,8.045757491
75,CHEMBL1082503,Cn1cc2c(n1)CCc1c-2c2c(c3c1[nH]c1ccc(C4CCCCO4)cc13)CNC2=O,,active,1,412.493,4.3052,2,4,1,71.94,5,8.301029996
76,CHEMBL1082693,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)N(C)C6CCCCC6)cc5)cnc34)cc2)CC1,,inactive,0,538.7,5.1937,2,7,5,95.03,435,6.361510743
77,CHEMBL1082755,C=CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,452.558,4.9646,1,5,3,61.08,18,7.744727495
78,CHEMBL1082756,CCOCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,484.6,4.8151,1,6,5,70.31,22,7.657577319
79,CHEMBL1082826,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C)c13)CNC2=O,,active,1,426.52,4.3156,1,5,1,61.08,15,7.823908741
80,CHEMBL1082829,CCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,468.601,5.5787,1,5,4,61.08,24,7.619788758
81,CHEMBL1082958,COCCN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)OCC(C)C)cc5)cnc34)cc2)CC1,,inactive,0,543.672,4.6184,2,9,9,110.25,2200,5.657577319
82,CHEMBL1082959,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCOCC5)c4)cnn3c2N)cc1,,inactive,0,486.576,4.6866,2,8,6,107.01,7350,5.133712661
83,CHEMBL1083001,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)CCC6CCCC6)cc5)cnc34)cc2)CC1,,inactive,0,523.685,5.3062,2,7,7,91.79,1015,5.993533958
84,CHEMBL1083022,COc1cc(-c2cnc3c(-c4cccc(N5CCN(C)CC5)c4)cnn3c2N)ccc1NC(=O)OCC(C)C,,inactive,0,529.645,4.6104,2,9,7,110.25,9200,5.036212173
85,CHEMBL1083023,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5cccc(O)c5)cnc34)cc2)CC1,,active,1,400.486,3.1029,2,7,3,82.92,96,7.017728767
86,CHEMBL1083042,CCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3,,active,1,454.574,5.1886,1,5,3,61.08,20,7.698970004
87,CHEMBL1083071,Cn1ncc2c1CCc1c-2c2c(c3c1[nH]c1ccc(C4CCCCO4)cc13)CNC2=O,,active,1,412.493,4.3052,2,4,1,71.94,8,8.096910013
88,CHEMBL1083091,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(O)cc5)cnc34)c2)CC1,,inactive,0,400.486,3.1029,2,7,3,82.92,470,6.327902142
89,CHEMBL1083092,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(O)cc5)cnc34)cc2)CC1,,inactive,0,400.486,3.1029,2,7,3,82.92,1300,5.886056648
90,CHEMBL1083144,CCCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,482.628,5.9688,1,5,5,61.08,52,7.283996656
91,CHEMBL1083344,Cc1nn2c(N)c(-c3cccc(O)c3)cnc2c1-c1ccc(N2CCN(C)CC2)cc1,,inactive,0,414.513,3.41132,2,7,3,82.92,500,6.301029996
92,CHEMBL1083350,CC(C)n1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3,,active,1,454.574,5.3595,1,5,2,61.08,44,7.356547324
93,CHEMBL1083386,CCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3,,active,1,468.601,5.5787,1,5,4,61.08,37,7.431798276
94,CHEMBL1083454,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C4CCCC4)c13)CNC2=O,,active,1,480.612,5.8937,1,5,2,61.08,55,7.259637311
95,CHEMBL1083644,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCNCC5)c4)cnn3c2N)cc1,,inactive,0,485.592,4.2596,3,8,6,109.81,2100,5.677780705
96,CHEMBL1083757,CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,440.547,4.7985,1,5,2,61.08,6,8.22184875
97,CHEMBL1084028,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)NCC6CCCCC6)cc5)cnc34)c2)CC1,,active,1,538.7,5.0991,3,7,6,103.82,130,6.886056648
98,CHEMBL1084061,CCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,454.574,5.1886,1,5,3,61.08,8,8.096910013
99,CHEMBL1084062,CC(C)n1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,454.574,5.3595,1,5,2,61.08,21,7.677780705
100,CHEMBL1084302,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)N(C)C6CCCCC6)cc5)cnc34)c2)CC1,,inactive,0,538.7,5.1937,2,7,5,95.03,6000,5.22184875
101,CHEMBL1084337,CC(C)Cn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,468.601,5.4346,1,5,3,61.08,11,7.958607315
102,CHEMBL1084338,CC(C)CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,482.628,5.8247,1,5,4,61.08,77,7.113509275
103,CHEMBL1084450,O=C(Nc1cccc(-n2ccc3c(NC(=O)c4ccccc4)nccc32)c1)c1ccc(N2CCOCC2)c(C(F)(F)F)c1,,inactive,0,585.586,6.3855,2,6,6,88.49,1058,5.975514332
104,CHEMBL1084451,CCN1CCC(CNc2nccc(-c3cccnc3Oc3ccc(Nc4nc5ccccc5[nH]4)c4ccccc34)n2)CC1,,inactive,0,570.701,7.2478,3,8,9,103.88,1754,5.755970411
105,CHEMBL1084452,CN1CCCC1CCNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,,inactive,0,556.674,7.0002,3,8,9,103.88,2059,5.686343653
106,CHEMBL1084453,CN(C)CC(C)(C)CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccccc4[nH]3)c3ccccc23)n1,,inactive,0,558.69,7.1037,3,8,10,103.88,10000,5
107,CHEMBL1084633,CNc1nccc(-c2cccnc2Oc2ccc(NC(=O)NC(C)(C)C)c3ccccc23)n1,,inactive,0,442.523,5.4458,3,6,5,101.06,2218,5.654038458
108,CHEMBL1084634,CCNC(=O)Nc1ccc(Oc2ncccc2-c2ccnc(NC)n2)c2ccccc12,,active,1,414.469,4.6672,3,6,6,101.06,48,7.318758763
109,CHEMBL1084974,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NS(=O)(=O)c6cccc(Cl)c6Cl)cc5)cnc34)c2)CC1,,inactive,0,608.555,5.5049,2,8,6,108.86,5400,5.26760624
110,CHEMBL1085240,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)c6ccc(C(F)(F)F)cc6)cc5)cnc34)c2)CC1,,inactive,0,571.607,5.6684,2,7,5,91.79,2300,5.638272164
111,CHEMBL1085291,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C4CCCCC4)c13)CNC2=O,,active,1,494.639,6.2838,1,5,2,61.08,44,7.356547324
112,CHEMBL1085292,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(CC4CCCCC4)c13)CNC2=O,,active,1,508.666,6.3589,1,5,3,61.08,149,6.826813732
113,CHEMBL1085293,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(CCO)c13)CNC2=O,,active,1,456.546,3.7709,2,6,3,81.31,3,8.522878745
114,CHEMBL1085294,CC(C)Cn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1c-4cnn1C)C(=O)NC3,,active,1,468.601,5.4346,1,5,3,61.08,36,7.443697499
115,CHEMBL1085295,Cn1ncc2c1CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(C4CCCC4)c13)CNC2=O,,active,1,480.612,5.8937,1,5,2,61.08,65,7.187086643
116,CHEMBL1085296,Cn1ncc2c1CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(CCO)c13)CNC2=O,,active,1,456.546,3.7709,2,6,3,81.31,7,8.15490196
117,CHEMBL1085316,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)CCC6CCCC6)cc5)cnc34)c2)CC1,,inactive,0,523.685,5.3062,2,7,7,91.79,690,6.161150909
118,CHEMBL1085317,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4cccc(N5CCN(C)CC5)c4)cnn3c2N)cc1,,inactive,0,499.619,4.6018,2,8,6,101.02,5350,5.271646218
119,CHEMBL1085511,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,,inactive,0,499.619,4.6018,2,8,6,101.02,4233,5.373351732
120,CHEMBL1085512,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Oc6ccccc6)cc5)cnc34)cc2)CC1,,inactive,0,519.609,5.0082,2,8,5,101.02,1000,6
121,CHEMBL1085540,Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(C5CCCCO5)ccc4n(CCCO)c13)CNC2=O,,active,1,470.573,4.161,2,6,4,81.31,16,7.795880017
122,CHEMBL1085541,CCN(CC)CCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,,active,1,511.67,5.1204,1,6,6,64.32,16,7.795880017
123,CHEMBL1085564,CN1CCN(c2cccc(-c3cnn4c(N)c(-c5ccc(NC(=O)Oc6ccccc6)cc5)cnc34)c2)CC1,,inactive,0,519.609,5.0082,2,8,5,101.02,4100,5.387216143
124,CHEMBL1085733,CN1CCN(c2ccc(-c3cnn4c(N)c(-c5ccc(NC(=O)c6ccc(C(F)(F)F)cc6)cc5)cnc34)cc2)CC1,,inactive,0,571.607,5.6684,2,7,5,91.79,8300,5.080921908
125,CHEMBL1085995,Cc1nc2c(-c3cccc(N4CCN(C)CC4)c3)cnn2c(N)c1-c1ccc(NC(=O)OCC(C)C)cc1,,inactive,0,513.646,4.91022,2,8,6,101.02,10000,5
126,CHEMBL1085996,Cc1cc(NC(=O)OCC(C)C)ccc1-c1cnc2c(-c3cccc(N4CCN(C)CC4)c3)cnn2c1N,,inactive,0,513.646,4.91022,2,8,6,101.02,3400,5.468521083
127,CHEMBL1086334,CNc1nccc(-c2cccnc2Oc2ccc(Nc3nc4ccncc4[nH]3)c3ccccc23)n1,,inactive,0,460.501,5.5407,3,8,6,113.53,6358,5.196679476
128,CHEMBL1086675,CCCc1c(C(=O)Nc2ccc(Oc3ccnc4cc(-c5cn(C)cn5)sc34)c(F)c2)cnn1-c1ccccc1,,inactive,0,552.635,7.0187,1,8,8,86.86,1900,5.721246399
129,CHEMBL1086676,Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)c5cnn(-c6ccccc6)c5)cc4F)c3s2)c1,,inactive,0,510.554,6.0662,1,8,6,86.86,1400,5.853871964
130,CHEMBL1086731,Cc1ccc(NC(=O)c2ccc(C(C)(C)C)s2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,active,1,497.628,6.06102,3,8,5,110.75,4,8.397940009
131,CHEMBL1086860,Cc1ccc(NC(=O)c2cc(C3CC3)n[nH]2)cc1Nc1nc2ccccc2n1-c1cc(N)ncn1,,active,1,465.521,4.30252,4,8,6,139.43,48,7.318758763
132,CHEMBL1086932,Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(-c5cn(C)cn5)sc34)c(F)c2)cnn1-c1ccccc1,,inactive,0,524.581,6.37462,1,8,6,86.86,2000,5.698970004
