Sr. No.,molecule_chembl_id,canonical_smiles,,bioactivity_class,Groups,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,standard_value,pIC50
5231,CHEMBL3797288,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN,,inactive,0,358.373,2.87262,3,7,6,102.52,10000,5
5232,CHEMBL379733,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(OCCN4CCCCC4)cc3)n2)c(OC)c1,,inactive,0,597.716,7.05604,1,9,11,98.28,350,6.455931956
5233,CHEMBL3797413,COCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,,inactive,0,373.384,3.56032,2,7,7,85.73,10000,5
5234,CHEMBL3797416,CCc1nc(Nc2cc(CCc3cc(OC)cc(OC)c3)[nH]n2)c2ccc(N3CCN(CC)CC3)cc2n1,,active,1,515.662,4.6032,2,8,10,91.43,35.8,7.446116973
5235,CHEMBL3797507,CCN1CCN(c2ccc3c(Nc4cc(CCc5c(Cl)c(OC)cc(OC)c5Cl)[nH]n4)ncnc3c2)CC1,,active,1,556.498,5.3476,2,8,9,91.43,17.5,7.756961951
5236,CHEMBL3797561,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCS(=O)(=O)CC1,,inactive,0,476.53,2.64432,2,9,7,113.88,10000,5
5237,CHEMBL3797684,COCCCOc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC,,inactive,0,387.411,3.95042,2,7,8,85.73,10000,5
5238,CHEMBL3797688,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCOCC1,,inactive,0,428.464,3.24612,2,8,7,88.97,10000,5
5239,CHEMBL3797895,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCCC1,,inactive,0,412.465,4.00972,2,7,7,79.74,10000,5
5240,CHEMBL3797991,COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCc1nccn1C,,inactive,0,409.421,3.84762,2,8,6,94.32,10000,5
5241,CHEMBL3798011,C[C@H](c1ccccc1)N1c2cc(-n3c(=O)[nH]c4ncccc43)ccc2C(=O)NC1(C)C,,inactive,0,413.481,3.7609,2,5,3,83.02,1000,6
5242,CHEMBL3798019,COc1cc2ncnc(Nc3cccc(C(F)F)c3)c2cc1OC,,inactive,0,331.322,4.3282,1,5,5,56.27,10000,5
